term,translation,context
machine learning,机器学习,
deep learning,深度学习,
neural network,神经网络,
artificial intelligence,人工智能,
convolutional neural network,卷积神经网络,
recurrent neural network,循环神经网络,
long short-term memory,长短期记忆网络,
gated recurrent unit,门控循环单元,
transformer,Transformer 模型,
attention mechanism,注意力机制,
self-attention,自注意力,
multi-head attention,多头注意力,
cross-attention,交叉注意力,
scaled dot-product attention,缩放点积注意力,
positional encoding,位置编码,
positional embedding,位置嵌入,
token embedding,词嵌入,
word embedding,词向量,
embedding layer,嵌入层,
embedding space,嵌入空间,
feature extraction,特征提取,
feature engineering,特征工程,
feature map,特征图,
feature vector,特征向量,
feature selection,特征选择,
feature scaling,特征缩放,
activation function,激活函数,
ReLU,修正线性单元,
sigmoid function,Sigmoid 函数,
softmax function,Softmax 函数,
tanh function,Tanh 函数,
LeakyReLU,带泄漏 ReLU,
GELU,高斯误差线性单元,
loss function,损失函数,
cross-entropy loss,交叉熵损失,
mean squared error,均方误差,
mean absolute error,平均绝对误差,
huber loss,Huber 损失,
focal loss,焦点损失,
contrastive loss,对比损失,
triplet loss,三元组损失,
gradient descent,梯度下降,
stochastic gradient descent,随机梯度下降,
mini-batch gradient descent,小批量梯度下降,
batch gradient descent,批量梯度下降,
momentum,动量,
Adam optimizer,Adam 优化器,
AdamW,AdamW 优化器,
RMSProp,RMSProp 优化器,
learning rate,学习率,
learning rate scheduler,学习率调度器,
weight decay,权重衰减,
gradient clipping,梯度裁剪,
backpropagation,反向传播,
backward pass,反向传播,
forward pass,前向传播,
chain rule,链式法则,
computational graph,计算图,
automatic differentiation,自动微分,
vanishing gradient,梯度消失,
exploding gradient,梯度爆炸,
batch normalization,批归一化,
layer normalization,层归一化,
group normalization,组归一化,
instance normalization,实例归一化,
dropout,随机失活,
dropout rate,失活率,
early stopping,早停,
regularization,正则化,
L1 regularization,L1 正则化,
L2 regularization,L2 正则化,
data augmentation,数据增强,
label smoothing,标签平滑,
mixup,混合增强,
cutmix,剪切混合,
